"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Mon Nov 18 11:59:30 CST 2019","Mon Nov 18 11:59:32 CST 2019","1378","Case","test_room","TestRoom","","","test_delete_device[1-device_list2]",""
"passed","Mon Nov 18 11:57:59 CST 2019","Mon Nov 18 11:58:26 CST 2019","26176","Case","test_room","TestRoom","","","test_add_device[0-device_list0]",""
"passed","Mon Nov 18 12:00:27 CST 2019","Mon Nov 18 12:00:32 CST 2019","4839","Case","test_room","TestRoom","","","test_delete_room[0]",""
"passed","Mon Nov 18 11:57:48 CST 2019","Mon Nov 18 11:57:58 CST 2019","10468","Case","test_room","TestRoom","","","test_create_room[艾拉-45-艾拉-45]",""
"broken","Mon Nov 18 11:58:59 CST 2019","Mon Nov 18 11:59:00 CST 2019","1239","Case","test_room","TestRoom","","","test_delete_device[0-device_list0]",""
"passed","Mon Nov 18 11:59:55 CST 2019","Mon Nov 18 12:00:20 CST 2019","25008","Case","test_room","TestRoom","","","test_modify_name",""
"passed","Mon Nov 18 11:58:27 CST 2019","Mon Nov 18 11:58:51 CST 2019","24794","Case","test_room","TestRoom","","","test_add_device[1-1]",""
"passed","Mon Nov 18 11:58:53 CST 2019","Mon Nov 18 11:58:58 CST 2019","5364","Case","test_room","TestRoom","","","test_add_device[1-device_list2]",""
"passed","Mon Nov 18 11:59:23 CST 2019","Mon Nov 18 11:59:29 CST 2019","6480","Case","test_room","TestRoom","","","test_delete_device[1-1]",""
"passed","Mon Nov 18 11:57:35 CST 2019","Mon Nov 18 11:57:47 CST 2019","12193","Case","test_room","TestRoom","","","test_create_room[Ayla45-Ayla45]",""
"passed","Mon Nov 18 12:00:21 CST 2019","Mon Nov 18 12:00:26 CST 2019","5062","Case","test_room","TestRoom","","","test_delete_room[1]",""
